,favorite_count,full_text,tweet_id,retweet_count
1991-02-08 13:48:08.022790149,2541,Here we have a Japanese Irish Setter. Lost eye in Vietnam (?). Big fan of relaxing on stair. 8/10 would pet https://t.co/BLDqew2Ijj,666020888022790144,507
1991-02-08 16:08:05.002620928,129,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of https://t.co/r7mOb2m0UI,666029285002620928,47
1991-02-08 17:16:52.701032449,124,Here is a very happy pup. Big fan of well-maintained decks. Just look at that tongue. 9/10 would cuddle af https://t.co/y671yMhoiR,666033412701032448,43
1991-02-08 20:17:06.329800704,296,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 https://t.co/DWnyCjf2mx,666044226329800704,139
1991-02-08 21:40:48.165822465,108,Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased. 5/10 https://t.co/4B7cOc1EDq,666049248165822464,41
1991-02-08 22:05:58.794694657,132,This is a truly beautiful English Wilson Staff retriever. Has a nice phone. Privileged. 10/10 would trade lives with https://t.co/fvIbQfHjIe,666050758794694656,59
1991-02-08 22:24:13.826850816,1208,This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well. 2/10 https://t.co/v5A4vzSDdc,666051853826850816,841
1991-02-08 23:25:25.042405380,431,Here is a Siberian heavily armored polar bear mix. Strong owner. 10/10 I would do unspeakable things to pet this dog https://t.co/rdivxLiqEt,666055525042405376,242
1991-02-08 23:51:30.499244032,293,My oh my. This is a rare blond Canadian terrier on wheels. Only $8.98. Rather docile. 9/10 very rare https://t.co/yWBqbrzy8O,666057090499244032,140
1991-02-09 00:16:40.524156928,111,Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). 8/10 good dog https://t.co/pYAJkAe76p,666058600524156928,57
1991-02-09 01:43:47.256086533,471,This is the happiest dog you will ever see. Very committed owner. Nice couch. 10/10 https://t.co/RhUEAloehK,666063827256086528,215
1991-02-09 03:46:33.221509120,145,Here we have a northern speckled Rhododendron. Much sass. Gives 0 fucks. Good tongue. 9/10 would caress sensually https://t.co/ZoL8kq2XFx,666071193221509120,59
1991-02-09 04:18:20.786774016,318,Let's hope this flight isn't Malaysian (lol). What a dog! Almost completely camouflaged. 10/10 I trust this pilot https://t.co/Yk6GHE9tOY,666073100786774016,162
1991-02-09 07:01:56.733198337,116,Here we have a well-established sunblockerspaniel. Lost his other flip-flop. 6/10 not very waterproof https://t.co/3RU6x0vHB7,666082916733198336,44
1991-02-09 10:06:40.022159362,163,This appears to be a Mongolian Presbyterian mix. Very tired. Tongue slip confirmed. 9/10 would lie down with https://t.co/mnioXo3IfP,666094000022159360,72
1991-02-09 11:38:33.787052032,153,Can stand on stump for what seems like a while. Built that birdhouse? Impressive. Made friends with a squirrel. 8/10 https://t.co/Ri4nMTLq5C,666099513787052032,67
1991-02-09 12:22:35.909144576,80,Oh my. Here you are seeing an Adobe Setter giving birth to twins!!! The world is an amazing place. 11/10 https://t.co/11LvqN4WLq,666102155909144576,12
1991-02-09 12:55:33.288665088,14155,Not familiar with this breed. No tail (weird). Only 2 legs. Doesn't bark. Surprisingly quick. Shits eggs. 1/10 https://t.co/Asgdc6kuLX,666104133288665088,6475
1991-02-11 10:41:50.803644416,102,Very concerned about fellow dog trapped in computer. 10/10 https://t.co/0yxApIikpk,666268910803644416,35
1991-02-11 11:51:37.616637952,174,Can take selfies 11/10 https://t.co/ws2AMaNwPW,666273097616637952,76
1991-02-11 15:50:06.224695296,146,This is an Albanian 3 1/2 legged  Episcopalian. Loves well-polished hardwood flooring. Penis on the collar. 9/10 https://t.co/d9NcXFKwLv,666287406224695296,64
1991-02-11 17:38:31.632134144,494,This is a funny dog. Weird toes. Won't come down. Loves branch. Refuses to eat his food. Hard to cuddle with. 3/10 https://t.co/IIXis0zta0,666293911632134144,352
1991-02-12 05:51:22.303524864,196,This is an extremely rare horned Parthenon. Not amused. Wears shoes. Overall very nice. 9/10 would pet aggressively https://t.co/QpRjllzWAL,666337882303524864,90
1991-02-12 07:56:57.576210432,289,Look at this jokester thinking seat belt laws don't apply to him. Great tongue tho 10/10 https://t.co/VFKG1vxGjB,666345417576210432,133
1991-02-12 10:08:08.456101888,217,Here we have a mixed Asiago from the Galápagos Islands. Only one ear working. Big fan of marijuana carpet. 8/10 https://t.co/tltQ5w9aUO,666353288456101888,71
1991-02-12 12:45:58.909284353,770,Unique dog here. Very small. Lives in container of Frosted Flakes (?). Short legs. Must be rare 6/10 would still pet https://t.co/XMD9CwjEnM,666362758909284352,564
1991-02-12 15:49:13.744588802,186,Those are sunglasses and a jean jacket. 11/10 dog cool af https://t.co/uHXrPkUEyl,666373753744588800,92
1991-02-12 22:04:07.373291520,166,Oh goodness. A super rare northeast Qdoba kangaroo mix. Massive feet. No pouch (disappointing). Seems alert. 9/10 https://t.co/Dc7b0E8qFE,666396247373291520,84
1991-02-13 01:05:26.856765440,107,This is a southern Vesuvius bumblegruff. Can drive a truck (wow). Made friends with 5 other nifty dogs (neat). 7/10 https://t.co/LopTBkKa8h,666407126856765440,40
1991-02-13 02:18:27.551481857,441,This is quite the dog. Gets really excited when not in water. Not very soft tho. Bad at fetch. Can't do tricks. 2/10 https://t.co/aMCTNWO94t,666411507551481856,323
1991-02-13 04:19:49.513326592,124,This is Walter. He is an Alaskan Terrapin. Loves outdated bandanas. One ear still working. Cool house plant. 10/10 https://t.co/qXpcwENTvn,666418789513326592,45
1991-02-13 04:59:18.376562688,316,*internally screaming* 12/10 https://t.co/YMcrXC2Y6R,666421158376562688,111
1991-02-13 06:57:56.349472768,165,Here we have an Austrian Pulitzer. Collectors edition. Levitates (?). 7/10 would garden with https://t.co/NMQq6HIglK,666428276349472768,83
1991-02-13 07:38:44.426358785,316,Oh boy what a pup! Sunglasses take this one to the next level. Weirdly folds front legs. Pretty big. 6/10 https://t.co/yECbFrSArM,666430724426358784,196
1991-02-13 09:00:52.385423360,165,"""Can you behave? You're ruining my wedding day""
DOG: idgaf this flashlight tastes good as hell

10/10 https://t.co/GlFZPzqcEU",666435652385423360,53
1991-02-13 09:27:53.139982337,125,Here we see a lone northeastern Cumberbatch. Half ladybug. Only builds with bricks. Very confident with body. 7/10 https://t.co/7LtjBS0GPK,666437273139982336,48
1991-02-13 12:15:44.410484738,105,This is Scout. She is a black Downton Abbey. Isn't afraid to get dirty. 9/10 nothing bad to say https://t.co/kH60oka1HW,666447344410484736,20
1991-02-13 14:18:34.377183233,518,I'll name the dogs from now on. This is Kreggory. He does parkour. 10/10 https://t.co/uPqPeXAcua,666454714377183232,208
1991-02-15 19:07:03.164719104,233,This is Jimothy. He is a Botwanian Gouda. Can write (impressive). Very erect tail. Still looking for hoco date. 9/10 https://t.co/LEkZjZxESQ,666644823164719104,83
1991-02-15 20:24:42.315059201,1121,Cool dog. Enjoys couch. Low monotone bark. Very nice kicks. Pisses milk (must be rare). Can't go down stairs. 4/10 https://t.co/vXMKrJC81s,666649482315059200,628
