,tweet_id,rating_numerator,rating_denominator,name,date,stage
0,892420643555336193,13.0,10,Phineas,08-01-2017,None
1,892177421306343426,13.0,10,Tilly,08-01-2017,None
2,891815181378084864,12.0,10,Archie,07-31-2017,None
3,891689557279858688,13.0,10,Darla,07-30-2017,None
4,891327558926688256,12.0,10,Franklin,07-29-2017,None
5,891087950875897856,13.0,10,None,07-29-2017,None
6,890971913173991426,13.0,10,Jax,07-28-2017,None
7,890729181411237888,13.0,10,None,07-28-2017,None
8,890609185150312448,13.0,10,Zoey,07-27-2017,None
9,890240255349198849,14.0,10,Cassie,07-26-2017,doggo
10,890006608113172480,13.0,10,Koda,07-26-2017,None
11,889880896479866881,13.0,10,Bruno,07-25-2017,None
12,889665388333682689,13.0,10,None,07-25-2017,puppo
13,889638837579907072,12.0,10,Ted,07-25-2017,None
14,889531135344209921,13.0,10,Stuart,07-24-2017,puppo
15,889278841981685760,13.0,10,Oliver,07-24-2017,None
16,888917238123831296,12.0,10,Jim,07-23-2017,None
17,888804989199671297,13.0,10,Zeke,07-22-2017,None
18,888554962724278272,13.0,10,Ralphus,07-22-2017,None
20,888078434458587136,12.0,10,Gerald,07-20-2017,None
21,887705289381826560,13.0,10,Jeffrey,07-19-2017,None
22,887517139158093824,14.0,10,None,07-19-2017,None
23,887473957103951883,13.0,10,Canela,07-19-2017,None
24,887343217045368832,13.0,10,None,07-18-2017,None
25,887101392804085760,12.0,10,None,07-18-2017,None
26,886983233522544640,13.0,10,Maya,07-17-2017,None
27,886736880519319552,13.0,10,Mingus,07-16-2017,None
28,886680336477933568,13.0,10,Derek,07-16-2017,None
29,886366144734445568,12.0,10,Roscoe,07-15-2017,pupper
30,886267009285017600,12.0,10,None,07-15-2017,None
31,886258384151887873,13.0,10,Waffles,07-15-2017,None
33,885984800019947520,12.0,10,Jimbo,07-14-2017,None
34,885528943205470208,13.0,10,Maisey,07-13-2017,None
35,885518971528720385,14.0,10,None,07-13-2017,None
37,885167619883638784,13.0,10,None,07-12-2017,None
38,884925521741709313,12.0,10,Earl,07-12-2017,None
39,884876753390489601,13.0,10,Lola,07-11-2017,None
40,884562892145688576,13.0,10,Kevin,07-11-2017,None
41,884441805382717440,14.0,10,None,07-10-2017,None
42,884247878851493888,13.0,10,None,07-10-2017,None
43,884162670584377345,12.0,10,Yogi,07-09-2017,doggo
44,883838122936631299,12.0,10,Noah,07-09-2017,None
45,883482846933004288,13.5,10,Bella,07-08-2017,None
46,883360690899218434,13.0,10,Grizzwald,07-07-2017,floofer
47,883117836046086144,13.0,10,None,07-07-2017,None
48,882992080364220416,13.0,10,Rusty,07-06-2017,None
49,882762694511734784,12.0,10,Gus,07-06-2017,pupper
50,882627270321602560,13.0,10,Stanley,07-05-2017,None
51,882268110199369728,13.0,10,Alfy,07-04-2017,None
52,882045870035918850,13.0,10,Koko,07-04-2017,None
53,881906580714921986,12.0,10,Rey,07-03-2017,None
54,881666595344535552,13.0,10,Gary,07-03-2017,None
55,881633300179243008,17.0,10,None,07-02-2017,None
56,881536004380872706,14.0,10,None,07-02-2017,pupper
57,881268444196462592,12.0,10,Elliot,07-01-2017,None
58,880935762899988482,13.0,10,Louis,06-30-2017,None
59,880872448815771648,12.0,10,None,06-30-2017,None
60,880465832366813184,12.0,10,Bella,06-29-2017,None
61,880221127280381952,12.0,10,Jesse,06-29-2017,None
62,880095782870896641,11.0,10,None,06-28-2017,None
63,879862464715927552,13.0,10,Romeo,06-28-2017,None
64,879674319642796034,14.0,10,None,06-27-2017,None
65,879492040517615616,12.0,10,Bailey,06-27-2017,None
66,879415818425184262,13.0,10,Duddles,06-26-2017,None
67,879376492567855104,12.0,10,Jack,06-26-2017,None
69,879050749262655488,11.0,10,Steven,06-25-2017,None
70,879008229531029506,13.0,10,Beau,06-25-2017,None
71,878776093423087618,13.0,10,Snoopy,06-25-2017,puppo
72,878604707211726852,13.0,10,None,06-24-2017,None
75,878281511006478336,13.0,10,Shadow,06-23-2017,None
76,878057613040115712,14.0,10,Emmy,06-23-2017,None
77,877736472329191424,13.0,10,Aja,06-22-2017,None
79,877556246731214848,12.0,10,Penny,06-21-2017,None
80,877316821321428993,13.0,10,Dante,06-21-2017,None
81,877201837425926144,12.0,10,Nelly,06-20-2017,None
82,876838120628539392,12.0,10,Ginger,06-19-2017,pupper
83,876537666061221889,14.0,10,None,06-18-2017,None
84,876484053909872640,13.0,10,Benedict,06-18-2017,None
85,876120275196170240,13.0,10,Venti,06-17-2017,None
86,875747767867523072,13.0,10,Goose,06-16-2017,None
87,875144289856114688,13.0,10,Nugget,06-15-2017,None
88,875097192612077568,13.0,10,None,06-14-2017,None
89,875021211251597312,12.0,10,None,06-14-2017,None
90,874680097055178752,12.0,10,Cash,06-13-2017,None
92,874296783580663808,13.0,10,Jed,06-12-2017,pupper
93,874057562936811520,12.0,10,None,06-12-2017,None
94,874012996292530176,13.0,10,Sebastian,06-11-2017,puppo
